SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
CC#Cc1cc(C)nc(Nc2ccccc2)n1,CC#Cc1cc(C)nc(Nc2ccccc2)[nH+]1,1,1,0,-1.56,-2.82,-3.34,-3.87,-3.4,-3.07,-2.14,-0.47
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=[OH+])[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,2,0,0.21,0.65,1.42,2.53,3.19,4.1,5.13,6.3
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=[OH+])[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,0,0,-0.8,-1.8,-3.7,-5.6,-6.4,-6.8,-7.5,-7.8
CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,CC(=[OH+])CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,0,2,0,0.35,1.13,2.43,4.2,5.32,6.91,8.68,10.55
CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,CC(=[OH+])CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,1,1,0,-1.6,-3.4,-8.3,-11.5,-12.6,-12.8,-12.9,-11.5
CC(=O)CN(C1CCNCC1)c2ccccc2,CC(=[OH+])CN(C1CCNCC1)c2ccccc2,0,2,0,0.4,0.93,1.85,3.41,4.48,5.78,7.34,9.18
CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,CC(=[OH+])N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,0,2,0,0.8,1.2,1.99,3.37,4.2,5.2,6.48,7.89
CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,CC(=[OH+])N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,1,2,0,1.45,2,2.8,3.9,4.6,5.5,6.7,8
CC(=O)Nc1ccc(O)cc1,CC(=[OH+])Nc1ccc(O)cc1,0,1,0,-0.56,-1.15,-1.7,-1.9,-1.63,-1.05,-0.09,1.21
CC(=O)Nc1ccc(O)cc1,CC(=[OH+])Nc1ccc(O)cc1,1,0,0,-5.05,-9.2,-16.7,-27.1,-33.4,-39.6,-45.6,-51
CC(C(O)=O)c1ccc(cc1)N2Cc3ccccc3C2=O,CC(C(O)=O)c1ccc(cc1)N2Cc3ccccc3C2=[OH+],0,2,0,0.06,0.55,1.38,2.63,3.52,4.64,5.92,7.42
CC(C(O)=O)c1ccc(cc1)N2Cc3ccccc3C2=O,CC(C(O)=O)c1ccc(cc1)N2Cc3ccccc3C2=[OH+],1,1,0,-0.5,-1.3,-1.8,-0.9,0,1.1,1.9,2.6
CC(C(O)=O)c1cccc(c1)C(=O)c2ccccc2,CC(C(O)=O)c1cccc(c1)C(=[OH+])c2ccccc2,0,2,0,0.63,0.73,1.23,2.97,4.35,5.9,7.4,9.04
CC(C(O)=O)c1cccc(c1)C(=O)c2ccccc2,CC(C(O)=O)c1cccc(c1)C(=[OH+])c2ccccc2,1,1,0,-1.6,-3.1,-4.6,-5,-5.2,-4.1,-3.2,-2.8
CC(C(O)c1ccccc1)N(C)C,CC(C(O)c1ccccc1)[NH+](C)C,0,2,0,0,-0.03,0.23,0.97,1.65,2.61,3.89,5.53
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,CC(C)(C)C(=[OH+])C(Oc1ccc(Cl)cc1)n2cncn2,0,2,0,0.44,0.83,1.17,2.31,3.36,4.24,5.11,6.55
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,CC(C)(C)C(=[OH+])C(Oc1ccc(Cl)cc1)n2cncn2,1,0,0,-1.05,-1.85,-3.06,-4.27,-4.86,-5.7,-6.54,-7.77
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cnc[nH+]2,0,2,0,0.74,1.77,3.63,6.45,8.25,10.28,12.69,15.4
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cnc[nH+]2,1,2,0,0.39,0.68,1.26,1.83,2.09,2.26,2.21,2.14
CC(C)(C)C(O)\C(=C/c1ccc(Cl)cc1Cl)n2cncn2,CC(C)(C)C(O)\C(=C/c1ccc(Cl)cc1Cl)n2cnc[nH+]2,0,2,0,0.21,0.52,1.07,2.14,2.96,3.97,5.3,6.84
CC(C)(C)C(O)\C(=C/c1ccc(Cl)cc1Cl)n2cncn2,CC(C)(C)C(O)\C(=C/c1ccc(Cl)cc1Cl)n2cnc[nH+]2,1,0,0,-0.77,-1.45,-2.56,-3.67,-4.33,-5.11,-6.21,-7.35
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n2cncn2,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n2cnc[nH+]2,0,2,0,0.08,0.75,1.97,3.55,4.6,6.31,7.63,9.34
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n2cncn2,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1Cl)n2cnc[nH+]2,1,0,0,-0.82,-1.53,-2.63,-3.73,-4.33,-5.09,-6.02,-7.18
CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cncn3,CC(C)(C)C(O)C(Oc1ccc(cc1)c2ccccc2)n3cnc[nH+]3,0,2,0,-0.01,0.8,2.48,4.61,5.76,7.21,8.66,10.46
